fecha_local,hora_local,dia_semana,zona,current_speed_kmph,free_flow_kmph,ratio,nivel,confidence,notas
2026-08-28,19:55,viernes,Centro,7,23,0.3,congestionado,0.956852,
2026-08-28,19:55,viernes,Plaza Americas-Zona UV,22,33,0.67,moderado,0.98993,
2026-08-28,19:55,viernes,Xalapa 2000,40,42,0.95,cerrado,0.683584,
2026-08-28,19:55,viernes,Av Lazaro Cardenas,14,17,0.82,fluido,0.802985,
2026-08-28,19:55,viernes,Av Americas,19,26,0.73,moderado,0.989226,
2026-08-28,19:55,viernes,Salida a Coatepec,38,43,0.88,fluido,0.724411,
2026-08-28,19:55,viernes,Salida a Veracruz,33,38,0.87,fluido,0.803057,
2026-08-28,20:10,viernes,Centro,8,22,0.36,congestionado,0.885183,
2026-08-28,20:10,viernes,Plaza Americas-Zona UV,24,33,0.73,moderado,0.993005,
2026-08-28,20:10,viernes,Xalapa 2000,40,43,0.93,cerrado,0.654024,
2026-08-28,20:10,viernes,Av Lazaro Cardenas,15,18,0.83,fluido,0.804827,
2026-08-28,20:10,viernes,Av Americas,20,26,0.77,fluido,0.975588,
2026-08-28,20:10,viernes,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-28,20:10,viernes,Salida a Veracruz,33,37,0.89,fluido,0.715226,
2026-08-28,20:18,viernes,Centro,9,22,0.41,congestionado,0.895328,
2026-08-28,20:18,viernes,Plaza Americas-Zona UV,24,33,0.73,moderado,0.990563,
2026-08-28,20:18,viernes,Xalapa 2000,39,43,0.91,cerrado,0.688442,
2026-08-28,20:18,viernes,Av Lazaro Cardenas,14,17,0.82,fluido,0.816594,
2026-08-28,20:18,viernes,Av Americas,20,26,0.77,fluido,0.968562,
2026-08-28,20:18,viernes,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-28,20:18,viernes,Salida a Veracruz,33,38,0.87,fluido,0.700819,
2026-08-28,20:27,viernes,Centro,11,23,0.48,congestionado,0.933765,
2026-08-28,20:27,viernes,Plaza Americas-Zona UV,23,32,0.72,moderado,0.991192,
2026-08-28,20:27,viernes,Xalapa 2000,40,43,0.93,cerrado,0.698341,
2026-08-28,20:27,viernes,Av Lazaro Cardenas,13,16,0.81,fluido,0.828303,
2026-08-28,20:27,viernes,Av Americas,19,26,0.73,moderado,0.961401,
2026-08-28,20:27,viernes,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-28,20:27,viernes,Salida a Veracruz,38,38,1.0,fluido,1,
2026-08-28,21:05,viernes,Centro,15,24,0.62,moderado,0.980459,
2026-08-28,21:05,viernes,Plaza Americas-Zona UV,23,32,0.72,moderado,0.991457,
2026-08-28,21:05,viernes,Xalapa 2000,38,42,0.9,cerrado,0.699408,
2026-08-28,21:05,viernes,Av Lazaro Cardenas,13,16,0.81,fluido,0.823408,
2026-08-28,21:05,viernes,Av Americas,26,26,1.0,fluido,1,
2026-08-28,21:05,viernes,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-28,21:05,viernes,Salida a Veracruz,33,38,0.87,fluido,0.687345,
2026-08-28,22:05,viernes,Centro,24,24,1.0,fluido,1,
2026-08-28,22:05,viernes,Plaza Americas-Zona UV,32,32,1.0,fluido,1,
2026-08-28,22:05,viernes,Xalapa 2000,43,43,1.0,cerrado,0.602552,
2026-08-28,22:05,viernes,Av Lazaro Cardenas,18,18,1.0,fluido,1,
2026-08-28,22:05,viernes,Av Americas,26,26,1.0,fluido,1,
2026-08-28,22:05,viernes,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-28,22:05,viernes,Salida a Veracruz,38,38,1.0,fluido,1,
2026-08-29,08:05,sabado,Centro,24,24,1.0,fluido,1,
2026-08-29,08:05,sabado,Plaza Americas-Zona UV,32,32,1.0,fluido,1,
2026-08-29,08:05,sabado,Xalapa 2000,42,43,0.98,cerrado,0.74009,
2026-08-29,08:05,sabado,Av Lazaro Cardenas,18,18,1.0,fluido,1,
2026-08-29,08:05,sabado,Av Americas,26,26,1.0,fluido,1,
2026-08-29,08:05,sabado,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-29,08:05,sabado,Salida a Veracruz,38,38,1.0,fluido,1,
2026-08-29,09:05,sabado,Centro,24,24,1.0,fluido,1,
2026-08-29,09:05,sabado,Plaza Americas-Zona UV,32,32,1.0,fluido,1,
2026-08-29,09:05,sabado,Xalapa 2000,42,43,0.98,cerrado,0.701109,
2026-08-29,09:05,sabado,Av Lazaro Cardenas,18,18,1.0,fluido,1,
2026-08-29,09:05,sabado,Av Americas,26,26,1.0,fluido,1,
2026-08-29,09:05,sabado,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-29,09:05,sabado,Salida a Veracruz,35,38,0.92,fluido,0.695205,
2026-08-29,10:05,sabado,Centro,24,24,1.0,fluido,1,
2026-08-29,10:05,sabado,Plaza Americas-Zona UV,32,32,1.0,fluido,1,
2026-08-29,10:05,sabado,Xalapa 2000,38,42,0.9,cerrado,0.717704,
2026-08-29,10:05,sabado,Av Lazaro Cardenas,18,18,1.0,fluido,1,
2026-08-29,10:05,sabado,Av Americas,26,26,1.0,fluido,1,
2026-08-29,10:05,sabado,Salida a Coatepec,44,44,1.0,fluido,1,
2026-08-29,10:05,sabado,Salida a Veracruz,33,38,0.87,fluido,0.709049,
2026-08-29,11:05,sabado,Centro,18,23,0.78,fluido,0.967999,
2026-08-29,11:05,sabado,Plaza Americas-Zona UV,32,32,1.0,fluido,1,
2026-08-29,11:05,sabado,Xalapa 2000,39,43,0.91,cerrado,0.826394,
