fecha_local,hora_local,dia_semana,ruta,min_actual,min_libre,retraso_pct,nivel,dist_km,notas
2026-08-30,08:00,domingo,Centro -> Plaza Americas,8.2,8.3,0,fluido,2.86,
2026-08-30,08:00,domingo,Centro -> Xalapa 2000,10.7,10.7,0,fluido,5.89,
2026-08-30,08:00,domingo,Centro -> Salida Veracruz,9.9,9.9,-1,fluido,3.29,
2026-08-30,08:00,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,0,fluido,1.51,
2026-08-30,08:00,domingo,Centro -> Salida Coatepec,12.4,12.1,2,fluido,7.06,
2026-08-30,08:15,domingo,Centro -> Plaza Americas,8.3,8.3,1,fluido,2.86,
2026-08-30,08:15,domingo,Centro -> Xalapa 2000,10.8,10.7,1,fluido,5.89,
2026-08-30,08:15,domingo,Centro -> Salida Veracruz,10.0,9.9,1,fluido,3.29,
2026-08-30,08:15,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,1,fluido,1.51,
2026-08-30,08:15,domingo,Centro -> Salida Coatepec,12.5,12.1,3,fluido,7.06,
2026-08-30,08:30,domingo,Centro -> Plaza Americas,8.3,8.3,1,fluido,2.86,
2026-08-30,08:30,domingo,Centro -> Xalapa 2000,10.8,10.7,1,fluido,5.89,
2026-08-30,08:30,domingo,Centro -> Salida Veracruz,10.0,9.9,1,fluido,3.29,
2026-08-30,08:30,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,1,fluido,1.51,
2026-08-30,08:30,domingo,Centro -> Salida Coatepec,12.5,12.1,3,fluido,7.06,
2026-08-30,08:45,domingo,Centro -> Plaza Americas,8.4,8.3,1,fluido,2.86,
2026-08-30,08:45,domingo,Centro -> Xalapa 2000,10.9,10.7,1,fluido,5.89,
2026-08-30,08:45,domingo,Centro -> Salida Veracruz,10.4,10.4,0,fluido,3.19,
2026-08-30,08:45,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,1,fluido,1.51,
2026-08-30,08:45,domingo,Centro -> Salida Coatepec,12.6,12.1,4,fluido,7.06,
2026-08-30,09:00,domingo,Centro -> Plaza Americas,8.4,8.3,2,fluido,2.86,
2026-08-30,09:00,domingo,Centro -> Xalapa 2000,10.9,10.7,2,fluido,5.89,
2026-08-30,09:00,domingo,Centro -> Salida Veracruz,10.4,10.4,0,fluido,3.19,
2026-08-30,09:00,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,1,fluido,1.51,
2026-08-30,09:00,domingo,Centro -> Salida Coatepec,12.6,12.1,4,fluido,7.06,
2026-08-30,09:15,domingo,Centro -> Plaza Americas,8.4,8.3,2,fluido,2.86,
2026-08-30,09:15,domingo,Centro -> Xalapa 2000,10.8,10.7,1,fluido,5.89,
2026-08-30,09:15,domingo,Centro -> Salida Veracruz,10.3,10.4,-1,fluido,3.19,
2026-08-30,09:15,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,0,fluido,1.51,
2026-08-30,09:15,domingo,Centro -> Salida Coatepec,12.5,12.1,3,fluido,7.06,
2026-08-30,09:17,domingo,Casa Blanca -> Centro,14.3,14.2,1,fluido,5.67,
2026-08-30,09:17,domingo,Los Sauces -> Centro,13.8,13.8,0,fluido,4.87,
2026-08-30,09:17,domingo,Banderilla -> Centro,18.6,18.3,1,fluido,9.53,
2026-08-30,09:17,domingo,El Castillo -> Centro,17.9,16.7,7,fluido,6.36,
2026-08-30,09:17,domingo,Blvd Las Trancas -> Centro,15.6,15.5,1,fluido,6.14,
2026-08-30,09:17,domingo,Av Ruiz Cortines-Animas -> Centro,12.2,12.1,1,fluido,3.29,
2026-08-30,09:17,domingo,Xalapa 2000 -> Centro,9.9,9.9,0,fluido,2.73,
2026-08-30,09:17,domingo,Plaza Americas -> Centro,4.9,4.8,1,fluido,1.38,
2026-08-30,09:17,domingo,Zona UV -> Centro,4.3,4.0,7,fluido,1.45,
2026-08-30,09:17,domingo,Sumidero -> Centro,9.8,9.7,0,fluido,3.88,
2026-08-30,09:17,domingo,Salida Coatepec -> Centro,13.6,13.3,2,fluido,5.11,
2026-08-30,09:17,domingo,Salida Veracruz -> Centro,13.8,12.7,9,fluido,5.02,
2026-08-30,09:17,domingo,Av Araucarias -> Centro,11.8,11.6,1,fluido,4.52,
2026-08-30,09:17,domingo,Av Murillo Vidal -> Centro,7.1,7.2,-1,fluido,2.24,
2026-08-30,09:17,domingo,Centro -> Plaza Americas,3.5,3.4,2,fluido,0.97,
2026-08-30,09:17,domingo,Banderilla -> Plaza Americas,18.8,18.4,2,fluido,8.88,
2026-08-30,09:17,domingo,Blvd Las Trancas -> Plaza Americas,16.6,16.4,1,fluido,6.45,
2026-08-30,09:17,domingo,Casa Blanca -> Plaza Americas,15.3,15.1,1,fluido,5.98,
2026-08-30,09:17,domingo,Av Ruiz Cortines-Animas -> Plaza Americas,10.7,10.5,2,fluido,2.76,
2026-08-30,09:17,domingo,El Castillo -> Plaza Americas,21.2,20.0,6,fluido,7.14,
2026-08-30,09:17,domingo,Centro -> Xalapa 2000,7.9,7.8,0,fluido,2.28,
2026-08-30,09:17,domingo,Plaza Americas -> Xalapa 2000,5.0,5.0,0,fluido,1.51,
2026-08-30,09:17,domingo,El Castillo -> Xalapa 2000,21.1,20.0,5,fluido,9.3,
2026-08-30,09:17,domingo,Centro -> Salida Veracruz,13.5,12.9,5,fluido,4.61,
2026-08-30,09:17,domingo,Centro -> Salida Coatepec,11.3,11.1,1,fluido,4.66,
2026-08-30,09:17,domingo,Centro -> Banderilla,21.4,20.9,3,fluido,10.39,
2026-08-30,09:17,domingo,Centro -> El Castillo,18.0,17.5,3,fluido,6.5,
2026-08-30,09:17,domingo,Centro -> Blvd Las Trancas,11.8,11.8,0,fluido,4.96,
2026-08-30,09:17,domingo,Centro -> Zona UV,7.7,7.0,10,fluido,1.98,
2026-08-30,09:17,domingo,Centro -> Terminal CAXA,6.8,6.6,3,fluido,2.31,
2026-08-30,09:17,domingo,Centro -> Aeropuerto El Lencero,16.8,17.0,-1,fluido,15.64,
2026-08-30,09:17,domingo,Plaza Americas -> Salida Veracruz,15.5,14.9,4,fluido,6.6,
2026-08-30,09:17,domingo,Zona UV -> Plaza Americas,3.5,3.2,9,fluido,1.05,
2026-08-30,09:17,domingo,Av Ruiz Cortines-Animas -> Zona UV,14.2,14.2,0,fluido,3.67,
2026-08-30,09:17,domingo,Blvd Las Trancas -> Xalapa 2000,16.3,16.2,0,fluido,6.53,
2026-08-30,09:17,domingo,Banderilla -> Zona UV,16.9,16.6,2,fluido,7.76,
2026-08-30,09:17,domingo,Casa Blanca -> Salida Coatepec,16.7,16.4,2,fluido,7.23,
2026-08-30,09:17,domingo,Los Sauces -> Salida Coatepec,15.2,15.1,1,fluido,5.93,
2026-08-30,09:17,domingo,Centro -> Los Sauces,13.0,13.1,-1,fluido,4.37,
2026-08-30,09:17,domingo,Centro -> Casa Blanca,11.0,10.8,2,fluido,4.37,
